;project;name;base_releases;time_base_releases;range_base_releases;issue;;;;
1;nodejs/node;v1.0.3;['v1.0.2'];['v0.11.14'];['v0.11.14'];unavailable;;;;
2;webpack/webpack;v1.7.4;['v1.8.0'];['v1.7.3'];['v1.7.3'];semantic;;;;
3;ant-design/ant-design;3.6.0;['3.6.1'];['3.5.4'];['3.5.4'];semantic;;;;
4;reduxjs/redux;v3.0.0;['v2.0.0', 'v1.0.0'];['v2.1.1'];['v2.1.1'];unavailable;;;;
5;ionic-team/ionic-framework;v4.11.11;['v5.3.2'];['v4.11.10'];['v4.11.10'];semantic;;;;
6;spring-projects/spring-boot;v1.1.10.RELEASE;['v1.2.0.RELEASE'];['v1.1.9.RELEASE'];['v1.1.9.RELEASE'];semantic;;;;
7;alibaba/fastjson;1.1.37;['1.2.36'];['1.1.36'];['1.1.36'];semantic;;;;
8;django/django;1.0.1;['1.1'];[];[];semantic;;;;
9;django/django;1.0.2;['1.0.1'];[];[];semantic;;;;
10;django/django;1.0.3;['1.0.2'];[];[];semantic;;;;
11;django/django;1.0.4;['1.0.3'];[];[];semantic;;;;
12;django/django;1.1.1;['1.2'];[];[];semantic;;;;
13;django/django;1.1.2;['1.1.1'];[];[];semantic;;;;
14;django/django;1.1.3;['1.1.2'];[];[];semantic;;;;
15;django/django;1.1.4;['1.1.3'];[];[];semantic;;;;
16;django/django;1.2.1;['1.2'];[];[];semantic;;;;
17;django/django;1.2.2;['1.3'];[];[];semantic;;;;
18;django/django;1.2.3;['1.2.2'];[];[];semantic;;;;
19;django/django;1.2.4;['1.2.3'];[];[];semantic;;;;
20;django/django;1.2.5;['1.2.4'];[];[];semantic;;;;
21;django/django;1.2.6;['1.2.5'];[];[];semantic;;;;
22;django/django;1.2.7;['1.2.6'];[];[];semantic;;;;
23;django/django;1.3.1;['1.3'];[];[];semantic;;;;
24;laravel/laravel;v5.8.35;['v6.0.0'];['v5.8.17'];['v5.8.17'];semantic;;;;
25;laravel/framework;v7.28.4;['v8.8.0', 'v6.18.42'];['v7.28.3'];['v7.28.3'];semantic;;;;
26;laravel/framework;v4.1.30;['v4.2.0'];['v4.1.29'];['v4.1.29'];semantic;;;;
27;laravel/framework;v4.1.31;['v4.2.7'];['v4.1.30'];['v4.1.30'];semantic;;;;
28;laravel/framework;v5.1.32;['v5.2.28'];['v5.1.31'];['v5.1.31'];semantic;;;;
29;laravel/framework;v5.1.35;['v5.2.31'];['v5.1.34'];['v5.1.34'];semantic;;;;
30;laravel/framework;v5.3.30;['v5.4.4'];['v5.3.29'];['v5.3.29'];semantic;;;;
31;laravel/framework;v5.4.36;['v5.5.0'];['v5.4.35'];['v5.4.35'];semantic;;;;
32;laravel/framework;v6.18.11;['v7.9.0'];['v6.18.10'];['v6.18.10'];semantic;;;;
33;sebastianbergmann/phpunit;4.8.30;['5.7.0'];['4.8.29'];['4.8.29'];semantic;;;;
34;sebastianbergmann/phpunit;5.7.10;['6.0.3'];['5.7.9'];['5.7.9'];semantic;;;;
35;sebastianbergmann/phpunit;7.5.12;['8.1.6'];['7.5.11'];['7.5.11'];semantic;;;;
36;briannesbitt/Carbon;1.37.0;['2.17.1'];['1.36.2'];['1.36.2'];semantic;;;;
37;briannesbitt/Carbon;2.22.3;['2.22.1'];['2.22.2'];['2.22.2'];semantic;;;;
38;electron/electron;v0.10.3;['v0.10.2'];['v0.10.2'];['v0.10.2'];?;;;;
39;electron/electron;v0.11.1;['v0.11.0'];['v0.10.7'];['v0.10.7'];unavailable;;;;
40;electron/electron;v0.7.1;['v0.7.0'];['v0.6.12'];['v0.6.12'];unavailable;;;;
41;electron/electron;v0.9.0;['v0.9.5'];['v0.8.7'];['v0.8.7'];semantic;;;;
42;dotnet/efcore;1.0.0;['1.0.1'];[];[];semantic;;;;
43;dotnet/efcore;v2.1.8;['v2.2.1'];['2.1.4'];['2.1.4'];semantic;;;;
44;aspnetboilerplate/aspnetboilerplate;v4.13;['v5.2'];['v4.12'];['v4.12'];semantic;;;;
45;aspnetboilerplate/aspnetboilerplate;v5.3;['v4.13'];['v5.2'];['v5.2'];unavailable;;;;
46;jellyfin/jellyfin;v10.0.0;['v10.0.2'];[];[];semantic;;;;
47;jellyfin/jellyfin;v10.1.0;['v10.0.0'];['v10.0.2'];['v10.0.2'];unavailable;;;;
48;cefsharp/CefSharp;v0.12;['v1.19.0'];['v0.11'];['v0.11'];semantic;;;;
49;taosdata/TDengine;ver-1.6.5.8;['ver-1.6.5.9'];['ver-1.6.5.7'];['ver-1.6.5.7'];semantic;;;;
50;taosdata/TDengine;ver-2.0.3.0;['ver-2.0.3.1'];['ver-2.0.2.2'];['ver-2.0.2.2'];semantic;;;;
51;discourse/discourse;v0.8.1;['v0.8.2'];[];[];semantic;;;;
52;v2ray/v2ray-core;v2.43.1;['v2.42.1'];['v2.43'];['v2.43'];unavailable;;;;
53;etcd-io/etcd;v2.0.2;['v2.0.1'];['v2.0.0'];['v2.0.0'];unavailable;;;;
